Timestamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
296.6953,-0.6415683627128601,0.4080817401409149,9.68199634552002,-0.013825586996972561,-0.03002435527741909,0.05521782860159874
296.7119,-0.6578872203826904,0.37769418954849243,9.698211669921875,-0.012992093339562416,-0.03004743903875351,0.05579856410622597
296.7286,-0.6468705534934998,0.34158703684806824,9.687843322753906,-0.01442595012485981,-0.025920335203409195,0.05001116916537285
296.7453,-0.621951162815094,0.3491789996623993,9.662077903747559,-0.015063395723700523,-0.028766948729753494,0.043472591787576675
296.7619,-0.6124151945114136,0.3500722050666809,9.681537628173828,-0.01636621728539467,-0.030777908861637115,0.04276975989341736
296.7786,-0.6591116786003113,0.33787083625793457,9.662298202514648,-0.015211078338325024,-0.03183358907699585,0.0420290008187294
296.7953,-0.6763082146644592,0.33518388867378235,9.686497688293457,-0.01551212090998888,-0.030603306367993355,0.04191277548670769
296.8119,-0.659472644329071,0.3204071819782257,9.697444915771484,-0.013602242805063725,-0.02645006589591503,0.042520295828580856
296.8286,-0.6586999893188477,0.31391024589538574,9.682908058166504,-0.015274498611688614,-0.026483310386538506,0.03779101371765137
296.8453,-0.6700909733772278,0.3099231421947479,9.687060356140137,-0.014699315652251244,-0.02829524502158165,0.03239618241786957
296.8619,-0.6972899436950684,0.26892101764678955,9.691411018371582,-0.012718367390334606,-0.027029233053326607,0.03054366074502468
296.8786,-0.6923866868019104,0.278694212436676,9.672762870788574,-0.011940388940274715,-0.02506701834499836,0.030993493273854256
296.8953,-0.6840946078300476,0.2825402021408081,9.673151969909668,-0.013598517514765263,-0.024841932579874992,0.029576001688838005
296.9119,-0.710527241230011,0.2859778106212616,9.667767524719238,-0.013633694499731064,-0.027323096990585327,0.02608722634613514
296.9286,-0.6997895240783691,0.27778390049934387,9.66058349609375,-0.014527274295687675,-0.028096213936805725,0.02818499132990837
296.9453,-0.7111418843269348,0.29101788997650146,9.65914249420166,-0.015044446103274822,-0.029072506353259087,0.02797430008649826
